                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5917,                 5.5006,                 1.4217,                0.60473,                0.72248,                0.68767,                0.44509,                 1.4506,                 10.986,                 1.1532,                0.00016,                0.00016,                0.00016
                      2,                 1.4109,                 2.0543,                 1.1832,                      1,                0.99654,                  0.995,                 0.5201,                  1.758,                 2.8915,                 1.3009,             0.00032317,             0.00032317,             0.00032317
                      3,                 1.2612,                 1.3381,                 1.1232,                0.99812,                      1,                  0.995,                0.59484,                 1.6204,                 2.4701,                 1.3961,             0.00046852,             0.00046852,             0.00046852
                      4,                 1.4278,                  1.149,                 1.2174,                0.41058,                0.97222,                0.43522,                0.26046,                 1.4187,                 3.8349,                 1.1926,             0.00059605,             0.00059605,             0.00059605
                      5,                 1.2891,                 1.0841,                 1.1085,                0.89033,                0.90225,                0.92773,                 0.5626,                 1.4593,                 2.0211,                 1.2323,             0.00070576,             0.00070576,             0.00070576
                      6,                 1.2986,                 1.0363,                 1.1062,                 0.8082,                0.66667,                0.76557,                0.42072,                 1.5662,                 1.3567,                 1.2659,             0.00079765,             0.00079765,             0.00079765
                      7,                  1.309,                0.86239,                  1.103,                0.97203,                0.96539,                 0.9905,                0.62976,                 1.5105,                 1.0794,                 1.2869,             0.00087172,             0.00087172,             0.00087172
                      8,                 1.3202,                0.81988,                 1.0802,                0.94735,                      1,                0.99365,                0.63064,                 1.4074,                 1.2124,                 1.2025,             0.00092797,             0.00092797,             0.00092797
                      9,                 1.2943,                0.79168,                 1.1046,                0.97133,                0.94102,                0.96777,                0.58921,                  1.479,                 1.0641,                 1.2171,              0.0009664,              0.0009664,              0.0009664
                     10,                 1.2566,                0.79132,                 1.1145,                      1,                0.93867,                0.98508,                0.60102,                 1.5176,                0.98249,                 1.2271,             0.00098701,             0.00098701,             0.00098701
                     11,                 1.3435,                0.82321,                 1.2834,                0.97189,                 0.9607,                0.99263,                0.54408,                 1.5962,                0.82451,                 1.3633,              0.0009898,              0.0009898,              0.0009898
                     12,                  1.309,                0.71122,                 1.1811,                0.95293,                      1,                0.98824,                0.58073,                 1.3778,                 1.3235,                 1.1915,               0.000911,               0.000911,               0.000911
                     13,                 1.2605,                 0.6721,                 1.1473,                0.94507,                0.97222,                0.99217,                0.62139,                  1.338,                 1.6636,                 1.1693,               0.000911,               0.000911,               0.000911
                     14,                 1.1166,                0.65599,                 1.1387,                0.99544,                      1,                  0.995,                0.63895,                 1.3751,                 1.1062,                   1.19,               0.000812,               0.000812,               0.000812
                     15,                 1.2425,                0.66894,                 1.1765,                0.99711,                      1,                  0.995,                0.62584,                 1.3198,                0.83601,                 1.1764,               0.000713,               0.000713,               0.000713
                     16,                 1.1716,                0.64451,                  1.151,                0.99503,                      1,                  0.995,                 0.6077,                 1.4435,                0.83709,                 1.2481,               0.000614,               0.000614,               0.000614
                     17,                 1.1785,                0.67732,                 1.1144,                0.99163,                      1,                  0.995,                 0.6462,                 1.3135,                0.74963,                 1.1567,               0.000515,               0.000515,               0.000515
                     18,                 1.1537,                0.63696,                 1.1231,                 0.9699,                      1,                 0.9877,                0.65585,                 1.3135,                 0.6906,                  1.139,               0.000416,               0.000416,               0.000416
                     19,                 1.0219,                0.56644,                 1.0563,                 0.9964,                      1,                  0.995,                0.62214,                 1.3802,                0.68934,                 1.1725,               0.000317,               0.000317,               0.000317
                     20,                  1.083,                0.57359,                 1.0655,                  0.997,                      1,                  0.995,                0.67077,                 1.2769,                0.63819,                  1.095,               0.000218,               0.000218,               0.000218
